Provinsi,IPM,Kemiskinan (%),TPT (%) ,PDRB_Perkapita (Ribu)
Aceh,74.7,14.45,6.03,41408.0
Sumatera Utara,75.13,8.15,5.89,68306.0
Sumatera Barat,75.64,5.95,5.94,54327.0
Riau,74.95,6.68,4.23,154522.0
Jambi,73.73,7.58,4.53,79850.0
Sumatera Selatan,73.18,11.78,4.11,71958.0
Bengkulu,74.3,14.04,3.42,46300.0
Lampung,72.48,11.11,4.23,48191.0
Kepulauan Bangka Belitung,74.09,4.52,4.56,67813.0
Kepulauan Riau,79.08,5.69,6.8,154065.0
DKI Jakarta,83.55,4.44,6.53,322619.0
Jawa Barat,74.24,7.62,7.44,52652.0
Jawa Tengah,73.39,10.77,5.13,45167.0
DI Yogyakarta,81.09,11.04,3.69,48360.0
Jawa Timur,74.65,10.35,4.88,71122.0
Banten,75.77,6.17,7.52,66147.0
Bali,78.01,4.25,2.69,62294.0
Nusa Tenggara Barat,72.37,13.85,2.8,29926.0
Nusa Tenggara Timur,68.4,19.96,3.14,23078.0
Kalimantan Barat,70.47,6.71,5.05,48809.0
Kalimantan Tengah,73.73,5.11,4.1,75271.0
Kalimantan Selatan,74.66,4.29,4.31,63754.0
Kalimantan Timur,78.2,6.11,5.31,215761.0
Kalimantan Utara,72.88,6.45,4.01,201749.0
Sulawesi Utara,75.04,7.38,6.1,64131.0
Sulawesi Tengah,71.66,12.41,2.95,112461.0
Sulawesi Selatan,74.6,8.7,4.33,69710.0
Sulawesi Tenggara,72.94,11.43,3.15,64088.0
Gorontalo,71.25,15.15,3.06,42341.0
Sulawesi Barat,69.8,11.49,2.27,39547.0
Maluku,72.75,16.42,6.31,30455.0
Maluku Utara,70.98,6.46,4.31,63675.0
Papua Barat,67.47,20.49,5.38,108110.0
Papua Barat Daya,...,...,...,58450.0
Papua,63.01,26.03,2.67,78055.0
Papua Selatan,...,...,...,58677.0
Papua Tengah,...,...,...,103508.0
Papua Pegunungan,...,...,...,16870.0
Indonesia,74.39,9.36,5.32,
